,w,R
0,435.0,0.03947288879168199
1,435.24524524524526,0.040186705432332444
2,435.4904904904905,0.04088893227406152
3,435.7357357357357,0.04157912796636253
4,435.980980980981,0.04225686690129174
5,436.22622622622623,0.04292258861387778
6,436.4714714714715,0.04357518786913618
7,436.7167167167167,0.04421417938983457
8,436.96196196196195,0.044839199044270465
9,437.2072072072072,0.04544989807101671
10,437.45245245245246,0.046045942982364196
11,437.6976976976977,0.0466274726847558
12,437.9429429429429,0.047194411039037175
13,438.1881881881882,0.04774581533606336
14,438.43343343343344,0.048281410904383815
15,438.6786786786787,0.04880093771447513
16,438.92392392392395,0.049304150240070656
17,439.16916916916915,0.04979081731404944
18,439.4144144144144,0.050261726818958255
19,439.65965965965967,0.05071576923556853
20,439.9049049049049,0.051152678754201444
21,440.1501501501501,0.05157014534785872
22,440.3953953953954,0.05196873633833543
23,440.64064064064064,0.052349644706880756
24,440.8858858858859,0.05271324632792017
25,441.13113113113116,0.05305954754173379
26,441.37637637637636,0.05338782607848747
27,441.6216216216216,0.05369798757280423
28,441.86686686686687,0.05398995021124287
29,442.11211211211213,0.054263644551234266
30,442.35735735735733,0.054519013339184914
31,442.6026026026026,0.05475718622367998
32,442.84784784784785,0.05497700191285731
33,443.0930930930931,0.05517840278439464
34,443.33833833833836,0.05536137726480126
35,443.58358358358356,0.05552592505029252
36,443.8288288288288,0.05567205692486784
37,444.0740740740741,0.05580033307118694
38,444.31931931931933,0.05591080731842517
39,444.5645645645646,0.056002968307840136
40,444.8098098098098,0.05607686825447031
41,445.05505505505505,0.056132569558734434
42,445.3003003003003,0.05617014462826859
43,445.54554554554556,0.056189692242466074
44,445.79079079079077,0.05619249820800615
45,446.036036036036,0.05617745497690828
46,446.2812812812813,0.05614467200840687
47,446.52652652652654,0.05609426789469052
48,446.7717717717718,0.0560263701878867
49,447.017017017017,0.05594111522772759
50,447.26226226226225,0.055839218176510635
51,447.5075075075075,0.05572075610133455
52,447.75275275275277,0.05558539318445325
53,447.99799799799797,0.05543329819411562
54,448.2432432432432,0.05526464784383298
55,448.4884884884885,0.055079626624286705
56,448.73373373373374,0.054878484712366435
57,448.978978978979,0.05466233688502263
58,449.2242242242242,0.05443040934668805
59,449.46946946946946,0.054182915080297725
